epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,73906.8,1.74574,2.17351,0.81698,0.94573,0.61654,0.02963,0.12634,0.07819,0.59826,0.02928,0.12507,0.06495,1.66767,1.89443,0.80357,0.92689,0.0010892,0.0010892,0.0010892
94,75017.4,1.68943,2.15304,0.80772,0.94599,0.56612,0.0298,0.12441,0.07286,0.57137,0.02963,0.12385,0.07109,1.62138,1.8882,0.80673,0.92297,0.0010793,0.0010793,0.0010793
95,76118.6,1.64413,2.07548,0.78493,0.92913,0.55397,0.03951,0.13185,0.0779,0.54066,0.03864,0.12836,0.06973,1.60246,1.86896,0.78684,0.91839,0.0010694,0.0010694,0.0010694
96,77232.1,1.67097,2.10127,0.78073,0.94236,0.40566,0.02998,0.12176,0.07429,0.3917,0.02963,0.12002,0.06107,1.67068,1.9748,0.84888,0.9264,0.0010595,0.0010595,0.0010595
97,78248.1,1.76431,2.18471,0.82877,0.94413,0.54585,0.0305,0.12757,0.07372,0.5032,0.02876,0.11792,0.0565,1.81381,2.02972,0.9003,0.94682,0.0010496,0.0010496,0.0010496
98,79137.3,1.71066,2.15435,0.81641,0.93649,0.47435,0.03119,0.12846,0.0738,0.43553,0.02963,0.11928,0.05877,1.8117,2.00546,0.87993,0.9518,0.0010397,0.0010397,0.0010397
99,80189.6,1.67839,2.1033,0.7907,0.93156,0.58967,0.05146,0.13136,0.07463,0.61984,0.05008,0.12779,0.06427,1.62822,1.88951,0.78746,0.92071,0.0010298,0.0010298,0.0010298
100,81311.2,1.68951,2.12786,0.79232,0.93222,0.54918,0.0305,0.12634,0.07415,0.50721,0.02859,0.11736,0.0564,1.79443,1.99757,0.84523,0.94518,0.0010199,0.0010199,0.0010199
101,82391.4,1.7129,2.17751,0.80124,0.93967,0.62085,0.02946,0.12319,0.06797,0.54721,0.02859,0.11686,0.0642,1.64394,1.90974,0.84087,0.92764,0.00101,0.00101,0.00101
102,83514.3,1.66797,2.12003,0.79164,0.9399,0.50696,0.0305,0.12513,0.07497,0.58221,0.02946,0.12058,0.06396,1.63415,1.87823,0.79689,0.923,0.0010001,0.0010001,0.0010001
103,84463.3,1.68816,2.12449,0.78705,0.93603,0.51254,0.03084,0.12671,0.07564,0.50102,0.03015,0.12456,0.06326,1.64373,1.88929,0.78675,0.92487,0.0009902,0.0009902,0.0009902
104,85467,1.7042,2.12948,0.7914,0.95043,0.57907,0.03102,0.12903,0.07609,0.5697,0.03032,0.12469,0.07093,1.64694,1.90257,0.79313,0.92513,0.0009803,0.0009803,0.0009803
105,86486.6,1.69684,2.12384,0.79451,0.94246,0.4915,0.03968,0.12796,0.07528,0.45519,0.03933,0.12625,0.06296,1.64043,1.8747,0.91721,0.92176,0.0009704,0.0009704,0.0009704
106,87506.7,1.68161,2.13137,0.78806,0.9503,0.2963,0.03136,0.12448,0.06397,0.29794,0.03154,0.12577,0.0668,1.67287,1.90247,0.82828,0.93434,0.0009605,0.0009605,0.0009605
107,88616.6,1.68348,2.10175,0.77247,0.94161,0.57598,0.0298,0.12495,0.07111,0.55924,0.02894,0.12033,0.05979,1.66762,1.90258,0.80544,0.92572,0.0009506,0.0009506,0.0009506
108,89732,1.69588,2.11645,0.78229,0.9383,0.54626,0.03067,0.12861,0.07402,0.5334,0.02951,0.12183,0.06011,1.70891,1.9026,0.79105,0.93189,0.0009407,0.0009407,0.0009407
