epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4534.23,1.70145,2.20228,0.80738,0.93996,0.45934,0.6556,0.40774,0.18865,0.43445,0.61828,0.37406,0.13162,2.04243,2.32747,1.55778,1.00215,0.0012377,0.0012377,0.0012377
79,4590.53,1.69318,2.15855,0.79042,0.94092,0.60508,0.66882,0.61529,0.28066,0.58003,0.63473,0.57546,0.2072,2.02128,2.30561,1.18929,0.99378,0.0012278,0.0012278,0.0012278
80,4646.08,1.69468,2.1821,0.79132,0.94438,0.70486,0.70811,0.70694,0.34969,0.6858,0.68567,0.67751,0.28272,1.82897,2.07883,1.09696,0.97442,0.0012179,0.0012179,0.0012179
81,4700.01,1.68233,2.16276,0.7827,0.9401,0.70169,0.6985,0.70452,0.35367,0.68463,0.67823,0.67489,0.26953,1.83771,2.07385,1.07199,0.9747,0.001208,0.001208,0.001208
82,4756.56,1.68498,2.16937,0.78543,0.94208,0.70305,0.60251,0.60798,0.17554,0.55863,0.46048,0.41424,0.09899,2.54898,2.68616,1.34326,1.11551,0.0011981,0.0011981,0.0011981
83,4815,1.68485,2.14167,0.79194,0.93517,0.5214,0.62033,0.4783,0.18265,0.46313,0.5407,0.38878,0.11597,2.33001,2.48308,1.49218,1.06521,0.0011882,0.0011882,0.0011882
84,4872.39,1.66919,2.16876,0.7893,0.94373,0.674,0.69262,0.66978,0.31862,0.65574,0.66294,0.63031,0.23681,1.88036,2.17265,1.34032,0.97779,0.0011783,0.0011783,0.0011783
85,4925.83,1.68306,2.17705,0.78538,0.93402,0.71314,0.67793,0.67323,0.28061,0.68032,0.63708,0.61901,0.20063,2.04768,2.34231,1.26635,1.00762,0.0011684,0.0011684,0.0011684
86,4981.16,1.67314,2.1541,0.78634,0.93531,0.62518,0.69615,0.62776,0.30068,0.60746,0.65883,0.59122,0.22166,1.96964,2.2539,1.20719,0.99015,0.0011585,0.0011585,0.0011585
87,5037.63,1.68169,2.1516,0.78379,0.94104,0.80829,0.71701,0.74899,0.33701,0.76565,0.66917,0.69529,0.25243,2.01062,2.2399,1.08697,1.00288,0.0011486,0.0011486,0.0011486
88,5094.89,1.7145,2.18143,0.79085,0.94327,0.69261,0.69821,0.6803,0.30285,0.63489,0.63944,0.59418,0.20865,2.15034,2.27514,1.20682,1.03367,0.0011387,0.0011387,0.0011387
89,5151.8,1.73392,2.20235,0.79819,0.9505,0.5608,0.6938,0.57671,0.27564,0.54672,0.64796,0.53253,0.2009,2.03177,2.28674,1.28882,1.0083,0.0011288,0.0011288,0.0011288
90,5207.02,1.68514,2.14397,0.78303,0.94257,0.77428,0.71769,0.73862,0.30594,0.73674,0.67529,0.6838,0.23889,2.04217,2.34013,1.12143,1.01191,0.0011189,0.0011189,0.0011189
91,5261.55,1.67169,2.13674,0.77377,0.93432,0.69236,0.69086,0.68248,0.29222,0.63837,0.62922,0.60183,0.19755,2.11793,2.28597,1.27479,1.02443,0.001109,0.001109,0.001109
92,5318.26,1.63937,2.11479,0.7666,0.9253,0.7519,0.72227,0.73947,0.37567,0.75126,0.6896,0.70835,0.28538,1.7979,2.02755,1.04479,0.96255,0.0010991,0.0010991,0.0010991
93,5372.43,1.65198,2.10307,0.76392,0.9319,0.70508,0.67793,0.67909,0.33769,0.68763,0.6556,0.64659,0.25254,1.90239,2.13399,1.14416,0.98056,0.0010892,0.0010892,0.0010892
94,5428.41,1.67559,2.15273,0.77851,0.94074,0.83177,0.73641,0.77742,0.39025,0.81636,0.72083,0.75677,0.31981,1.77964,2.01784,1.02496,0.96263,0.0010793,0.0010793,0.0010793
95,5496.11,1.63131,2.08267,0.75781,0.92833,0.56812,0.69351,0.58095,0.28709,0.56201,0.66412,0.55318,0.21961,1.9065,2.13241,1.32372,0.97698,0.0010694,0.0010694,0.0010694
96,5551.77,1.65107,2.12323,0.76681,0.92974,0.74034,0.73288,0.72596,0.33861,0.71153,0.6888,0.67266,0.24148,1.99704,2.14587,1.0762,0.99508,0.0010595,0.0010595,0.0010595
97,5607.66,1.65311,2.11072,0.76355,0.93822,0.72436,0.72377,0.71251,0.30305,0.6977,0.64443,0.64314,0.21199,2.10572,2.2293,1.17313,1.01612,0.0010496,0.0010496,0.0010496
98,5664.72,1.65927,2.11307,0.77262,0.93352,0.7186,0.72789,0.70709,0.32827,0.69218,0.67294,0.65134,0.2343,1.96467,2.14266,1.11018,0.99566,0.0010397,0.0010397,0.0010397
99,5721.95,1.63503,2.1073,0.76566,0.93078,0.74089,0.73355,0.72778,0.35133,0.72717,0.69615,0.69168,0.26919,1.81339,2.11899,1.08903,0.96633,0.0010298,0.0010298,0.0010298
100,5776.13,1.61264,2.0556,0.75878,0.92858,0.63629,0.67807,0.63857,0.31942,0.62682,0.65302,0.6077,0.2431,1.8609,2.11635,1.36189,0.9744,0.0010199,0.0010199,0.0010199
101,5832,1.64561,2.10771,0.76305,0.93166,0.78598,0.75435,0.77557,0.38893,0.764,0.72789,0.74391,0.30469,1.79406,2.04321,0.99562,0.96294,0.00101,0.00101,0.00101
102,5889.04,1.65861,2.13729,0.77829,0.93486,0.77124,0.72936,0.7504,0.35056,0.7424,0.68854,0.70082,0.26661,1.88151,2.13624,1.06946,0.98234,0.0010001,0.0010001,0.0010001
103,5946.37,1.67141,2.14955,0.77874,0.94055,0.69053,0.68792,0.67488,0.26121,0.62031,0.59095,0.55,0.1654,2.26961,2.36883,1.21398,1.05313,0.0009902,0.0009902,0.0009902
104,6001.92,1.65344,2.11541,0.76691,0.94003,0.52554,0.63855,0.49862,0.23392,0.50541,0.58889,0.45467,0.16327,2.07781,2.32445,1.50444,1.02074,0.0009803,0.0009803,0.0009803
105,6057.22,1.6527,2.11268,0.76277,0.93439,0.75475,0.7223,0.73869,0.36279,0.73024,0.68704,0.6949,0.27805,1.81412,2.11704,1.10635,0.97021,0.0009704,0.0009704,0.0009704
106,6114.18,1.61459,2.07009,0.74943,0.9203,0.65319,0.70115,0.65957,0.33302,0.64119,0.66647,0.62235,0.24522,1.82862,2.11818,1.17893,0.96706,0.0009605,0.0009605,0.0009605
107,6166.87,1.6231,2.09253,0.75349,0.92875,0.79037,0.72015,0.75364,0.35043,0.74621,0.67654,0.70134,0.26358,1.92079,2.20788,1.02631,0.98758,0.0009506,0.0009506,0.0009506
108,6221.36,1.63887,2.08949,0.76842,0.92728,0.61661,0.67676,0.61933,0.29539,0.60092,0.64061,0.57987,0.21853,1.93247,2.19424,1.27713,0.98367,0.0009407,0.0009407,0.0009407
109,6278.76,1.66145,2.11902,0.77,0.92727,0.81045,0.74634,0.77752,0.38203,0.78588,0.72371,0.74669,0.30267,1.79211,2.0599,0.98302,0.96001,0.0009308,0.0009308,0.0009308
110,6334.86,1.64535,2.1131,0.7654,0.92786,0.54072,0.57567,0.48301,0.22864,0.52789,0.54906,0.46138,0.17973,2.17744,2.4354,1.51979,1.0319,0.0009209,0.0009209,0.0009209
111,6388.05,1.6848,2.14878,0.78614,0.94544,0.72599,0.7511,0.74087,0.36548,0.70731,0.7279,0.7141,0.30513,1.7365,1.99881,1.05335,0.95536,0.000911,0.000911,0.000911
112,6443.07,1.64292,2.06973,0.75857,0.92898,0.79682,0.73643,0.7563,0.32348,0.7401,0.682,0.68207,0.23835,1.91241,2.18951,1.05454,0.98573,0.0009011,0.0009011,0.0009011
113,6497.4,1.62632,2.0719,0.75191,0.92973,0.79999,0.75933,0.77422,0.37836,0.77152,0.72834,0.74091,0.30334,1.75544,2.03472,0.98191,0.95561,0.0008912,0.0008912,0.0008912
114,6553.78,1.61777,2.03841,0.73938,0.93397,0.73947,0.74229,0.73721,0.34865,0.70904,0.70115,0.68091,0.24735,1.9243,2.08748,1.05367,0.98117,0.0008813,0.0008813,0.0008813
115,6610.26,1.64488,2.10165,0.76273,0.93424,0.74978,0.73964,0.73526,0.34136,0.71759,0.70937,0.69332,0.26429,1.87996,2.14209,1.08883,0.97365,0.0008714,0.0008714,0.0008714
116,6669.15,1.61354,2.07057,0.75385,0.92678,0.78456,0.74346,0.76229,0.36922,0.76457,0.7129,0.72904,0.29053,1.79839,2.08098,1.03004,0.9574,0.0008615,0.0008615,0.0008615
117,6725.45,1.62371,2.07404,0.74012,0.93236,0.67902,0.72319,0.68432,0.32221,0.66895,0.6697,0.63209,0.21972,1.92067,2.11735,1.15784,0.97814,0.0008516,0.0008516,0.0008516
118,6781.8,1.67259,2.11955,0.76471,0.93468,0.78988,0.73435,0.75569,0.37452,0.76154,0.70408,0.71741,0.29407,1.85337,2.05243,1.01451,0.96657,0.0008417,0.0008417,0.0008417
119,6844.8,1.65111,2.08726,0.7621,0.9316,0.73758,0.72083,0.71633,0.35945,0.72139,0.69409,0.68454,0.26572,1.75545,2.03022,1.06603,0.95233,0.0008318,0.0008318,0.0008318
120,6902.01,1.58248,2.0191,0.7305,0.92086,0.71961,0.73582,0.73593,0.37019,0.71084,0.70555,0.70884,0.28655,1.83714,2.02676,1.02983,0.96447,0.0008219,0.0008219,0.0008219
121,6956.83,1.62912,2.07829,0.74298,0.93052,0.75479,0.76342,0.76444,0.38554,0.74066,0.74111,0.74032,0.31597,1.80823,1.99599,1.00717,0.96094,0.000812,0.000812,0.000812
122,7011.11,1.67212,2.11039,0.76188,0.93243,0.76637,0.76315,0.76277,0.37131,0.7417,0.7226,0.72165,0.28467,1.77061,2.02577,1.01813,0.95637,0.0008021,0.0008021,0.0008021
123,7065.53,1.6551,2.08635,0.76636,0.92923,0.78852,0.75198,0.76106,0.32324,0.72997,0.68528,0.66976,0.22975,1.94255,2.19165,1.07305,0.98747,0.0007922,0.0007922,0.0007922
124,7124.3,1.67409,2.14538,0.77164,0.93347,0.68166,0.70585,0.68258,0.30344,0.64944,0.66265,0.62074,0.22472,2.03082,2.19059,1.20544,0.99944,0.0007823,0.0007823,0.0007823
125,7181.66,1.64994,2.09992,0.76308,0.93007,0.79237,0.74904,0.76261,0.34214,0.75946,0.71055,0.71438,0.27301,1.84887,2.14347,1.04353,0.97447,0.0007724,0.0007724,0.0007724
126,7240.72,1.60817,2.03947,0.74242,0.92409,0.68516,0.68875,0.66555,0.29955,0.6524,0.65081,0.61265,0.21577,1.94914,2.15691,1.18914,0.98648,0.0007625,0.0007625,0.0007625
127,7297.94,1.59888,2.02079,0.73364,0.92621,0.7431,0.70805,0.71584,0.31444,0.69086,0.64817,0.63479,0.21719,2.01175,2.17723,1.11012,0.99667,0.0007526,0.0007526,0.0007526
