epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,4323.72,1.66463,1.97947,0.78667,0.90705,0.85503,0.84444,0.87891,0.43192,0.80703,0.78906,0.81713,0.29867,1.68265,1.87727,0.80746,0.92324,0.0011684,0.0011684,0.0011684
86,4374.89,1.66356,2.00175,0.79134,0.91113,0.86063,0.86745,0.88425,0.43923,0.82217,0.82211,0.82677,0.292,1.71312,1.89621,0.84717,0.92438,0.0011585,0.0011585,0.0011585
87,4425.33,1.67732,1.99544,0.80164,0.92048,0.85965,0.8829,0.90451,0.43223,0.80151,0.81883,0.81168,0.28749,1.76629,1.90386,0.82188,0.93139,0.0011486,0.0011486,0.0011486
88,4473.09,1.65238,1.97415,0.77785,0.9161,0.88255,0.88291,0.92464,0.44445,0.84656,0.82868,0.86039,0.31358,1.66229,1.85808,0.77594,0.91579,0.0011387,0.0011387,0.0011387
89,4522.66,1.67265,1.98305,0.79444,0.91672,0.85493,0.86572,0.91165,0.45193,0.82363,0.81346,0.84867,0.31069,1.67363,1.83737,0.80858,0.91696,0.0011288,0.0011288,0.0011288
90,4571.72,1.64936,1.96655,0.78005,0.91709,0.87875,0.9031,0.93248,0.48386,0.85653,0.88026,0.89683,0.34943,1.63404,1.81018,0.79691,0.90692,0.0011189,0.0011189,0.0011189
91,4625.58,1.67191,1.99173,0.78736,0.91309,0.88137,0.88977,0.9311,0.48223,0.84342,0.85101,0.87802,0.34118,1.6363,1.80986,0.78312,0.90983,0.001109,0.001109,0.001109
92,4674.87,1.64641,1.96248,0.77506,0.9142,0.88142,0.88666,0.92559,0.48336,0.85682,0.86191,0.89534,0.37084,1.64259,1.81861,0.77802,0.9133,0.0010991,0.0010991,0.0010991
93,4728.62,1.67583,1.99639,0.78871,0.92004,0.87364,0.887,0.92312,0.45859,0.83916,0.84323,0.86922,0.31996,1.69135,1.82087,0.81337,0.9165,0.0010892,0.0010892,0.0010892
94,4780.07,1.62525,1.93438,0.77358,0.91068,0.8718,0.85638,0.90226,0.44855,0.85555,0.84042,0.88102,0.3663,1.72825,1.86658,0.81601,0.92724,0.0010793,0.0010793,0.0010793
95,4828.53,1.62072,1.94311,0.7575,0.90936,0.88384,0.90275,0.94077,0.49315,0.85094,0.86734,0.89151,0.3442,1.61188,1.79473,0.76373,0.90401,0.0010694,0.0010694,0.0010694
